"idfustemed";"numarv";"dap";"ht";"vprod_5"
"1";485;16,7;27,4;0,227687579389896
"10";740;15,1;23,4;0,168273020204481
"100";1327;14,5;27;0,171867710749583
"102";1332;23,9;30,9;0,51578474147091
"103";1348;9,5;20,9;0,0539462509501988
"104";1352;17,7;26,9;0,264876987955715
"105";1405;4,5;10,5;0,00034115554222994
"106";1406;8,2;18,5;0,0351799297806877
"107";1419;18,1;27,2;0,277407814939857
"109";1494;8,7;18;0,0352803659991575
"110";1498;5,9;13,6;0,00581566396044787
"112";1505;13,1;25,8;0,133792357877768
"114";1744;7,9;15,1;0,0259615719105517
"115";1802;22,6;29,3;0,427930426908643
"118";1859;10,2;20,3;0,0543401673990508
"119";1871;19,1;25;0,252083032640214
"12";848;6,2;13,4;0,00771967854803352
"120";1888;7,7;14,6;0,0148489078467942
"121";18;8,2;14,4;0,0225002043947346
"122";52;13,9;24,5;0,145973244321057
"125";219;19,2;29,6;0,338878182605398
"126";233;28,1;32,1;0,688142398583732
"127";238;12,1;22,8;0,0956201843584145
"129";297;16,5;26;0,208647954755705
"13";849;10,4;19,2;0,0696701447108954
"130";313;23,1;30;0,472986708007483
"131";322;7,8;15,6;0,0236481423503563
"132";344;11,8;21,5;0,0990077184053479
"133";394;18,3;25,3;0,244258593197157
"135";448;23,4;31,4;0,591172202892232
"136";490;14,8;19,6;0,121202339656207
"137";498;17,4;21,3;0,194738442376811
"138";540;15;22,5;0,181132695320335
"139";543;21;24;0,333354355748064
"14";851;17,1;21,9;0,203551406388268
"140";558;17,1;21,7;0,222398656605198
"141";570;13,1;19,6;0,131110232398114
"142";635;20,8;27,8;0,360983241056656
"143";667;21,8;24,2;0,364655027824695
"145";676;14,7;25,6;0,179821016020243
"146";683;22,2;25,2;0,377443250336827
"147";717;5,4;11,6;0,00315093889173422
"148";723;21,1;22,2;0,292236092994893
"149";726;10,1;18,4;0,0529182789940444
"15";864;16,5;24,8;0,207901569735693
"151";800;13,5;22,5;0,129363909670906
"152";950;20,7;27,6;0,349506070432773
"154";1239;6,8;14,7;0,0177153231638683
"155";1244;22,6;27,1;0,402738191557918
"156";1245;21,8;26,5;0,375096510295193
"157";1251;14,1;24,8;0,173509186120047
"158";1254;4,1;8,7;0,00020031580157452
"159";1257;10,7;20,6;0,0764345422827914
"16";888;17,7;23,5;0,263701257501751
"160";1285;20,6;23,7;0,310187103437622
"164";1342;20,1;26;0,315195256889457
"167";1523;16,3;26,6;0,21971560140781
"168";1540;7,6;16,9;0,024979191524451
"169";1572;11,3;22,1;0,0866971536510084
"17";893;7,5;16,4;0,0345821021520021
"170";1574;16,3;24,6;0,207298690965486
"171";1598;10;20,1;0,0609846358613932
"173";1652;5,3;12;0,00132795121467241
"175";1697;21,4;24,3;0,314701889349443
"177";1720;13,6;22,9;0,131003259723547
"178";1721;17,6;24,3;0,226788314260269
"179";1778;11,7;22,7;0,0976080271099734
"18";897;13;20,9;0,144552627966409
"180";1791;24,3;28,5;0,464828933759754
"182";1682;8,9;18,3;0,0378634171388603
"183";1683;9,2;18,1;0,0435470687580104
"184";1684;12,7;23,5;0,118563717080665
"186";1686;20,4;27,2;0,315239920871937
"187";1687;21,2;25,8;0,313543604828661
"188";1688;17,7;27,6;0,266782259851642
"189";1689;7,2;13,7;0,0149113339108149
"19";898;3,8;10,1;0,000222938838672018
"190";1690;20,4;28;0,346825349421465
"191";1691;24;28;0,503094920980786
"193";1693;12,4;23,7;0,108410139979935
"194";1694;18,2;27,6;0,27943181080898
"195";1695;11,2;23;0,0853354303153099
"196";1696;9,5;19,3;0,0501781854515751
"199";1758;10,3;17,7;0,0546071504147284
"20";901;9,7;18,2;0,069489437683467
"202";1761;19,3;25;0,280745770224266
"205";751;7,5;12,8;0,0135123390689401
"206";752;10,3;17;0,0518019961543993
"207";753;13,4;18,8;0,100301761420851
"208";754;16,4;20,1;0,155475388635258
"209";755;19;19,8;0,189372677339859
"21";907;12,3;22,1;0,114527971943782
"210";756;22;20,3;0,27289225629136
"212";768;6,8;11,5;0,0119049082811458
"213";769;9,4;14;0,0304208663327815
"214";770;13,2;20,8;0,11189279597684
"215";771;16,2;22;0,175363557933719
"216";772;18,7;22,9;0,240692071111585
"217";773;23;23,5;0,359547377827001
"219";775;7,9;13,5;0,0205683343522871
"220";777;14,1;22,2;0,133583369503974
"221";778;16,9;24,8;0,216045734174428
"222";779;19,9;25,9;0,302106479693635
"223";780;22,3;26,8;0,369611357187098
"224";811;5,6;13,2;0,003429912319373
"225";812;8,2;15,8;0,0246836374689183
"227";814;13,2;20,8;0,110185218369029
"228";816;20,2;22,6;0,250309233328129
"23";911;8,1;16,1;0,0245615560510644
"231";854;4,4;8,3;0,000746068195368022
"233";856;9,6;18,7;0,0496076984056219
"234";857;14,1;20,8;0,130278123633076
"235";859;18,5;22,8;0,225716343088308
"236";1411;21,4;24,8;0,328155328975094
"237";1413;9,2;18,5;0,0396901747271064
"238";1414;12,4;21,2;0,0964112088286552
"242";1617;9,5;16,9;0,0412906983743859
"243";1618;13,3;19,4;0,100780891700436
"245";1620;18,1;20,4;0,193240665639265
"246";1621;5,4;11,3;0,00115477091964327
"247";1622;16,7;22;0,174942270928002
"248";1623;14,2;21,2;0,134132261840425
"249";1624;19,6;22,4;0,252803685945013
"25";914;15,6;25,1;0,192943622443881
"251";1626;9,7;18,7;0,0565138615360084
"252";1627;10,9;19,4;0,0664447096133657
"253";1763;4,8;9,2;0,00179188590979128
"255";1765;10,1;14,3;0,0386878790434097
"257";1767;17,7;19,6;0,17507863147889
"258";1768;18,5;20,3;0,195514165182834
"259";1769;22,5;20,7;0,292295985214839
"26";916;5,5;12,1;0,00351400882771878
"260";1770;19,3;21,7;0,240053453620603
"262";1772;12,2;19,7;0,0929116995220302
"263";1773;16,3;21,3;0,17356801040249
"27";921;19,5;25;0,276690797769632
"29";986;7,8;13,9;0,023037032766063
"3";582;10,9;20,2;0,0721814684283281
"32";990;15,4;24,2;0,177894394035523
"33";991;17,8;24,5;0,229238503060662
"34";992;18,8;25,5;0,259665383989379
"35";994;22,4;27;0,378092689334823
"36";1009;5;11;0,00175858502766322
"37";1010;7,1;13,2;0,0136372566468285
"38";1012;14,6;22,9;0,143730023746682
"39";1014;19,4;24,3;0,265109694047444
"40";1023;19,5;27;0,303421615828275
"41";1024;10,8;19,3;0,0624789474970426
"43";1035;11,4;20,1;0,0731633732122076
"44";1036;7;15,3;0,0141914968591071
"47";1042;20,5;25,5;0,31934708639093
"48";1045;5,6;12,4;0,00386452548305836
"49";1047;9,8;18,4;0,0522076935757022
"5";666;22,5;26,3;0,396324227171557
"51";1054;10,4;19,8;0,0599528021942692
"52";1156;19;22;0,206944057174774
"54";1161;24,1;24;0,407257762771887
"56";1172;10;16,2;0,0489997589434027
"57";1181;16,2;24,6;0,194578935815024
"58";1182;20,5;26;0,353365651647393
"59";1183;23,4;28;0,463246568518012
"60";1188;13,7;23,3;0,155097668864183
"61";69;16,9;29,2;0,244040897188725
"62";70;19,6;30,4;0,349489647020866
"63";72;23,1;31,6;0,474372558170608
"64";75;20,8;29,7;0,383809670396035
"66";83;19;30,6;0,339892387851245
"67";91;14,9;28;0,181412982567533
"70";103;19,2;29,4;0,327053389639408
"71";106;13,8;23,8;0,12718304700637
"72";190;13,4;23,5;0,117338151817359
"73";195;22,4;29,7;0,405978318956091
"74";430;16,2;27,4;0,244213853221779
"75";476;9,9;20,1;0,0561166005999773
"76";482;18,5;24,6;0,236537863752234
"77";615;17,2;29,6;0,27465634737093
"78";622;16,9;27,6;0,240648733068581
"79";659;17,1;27,3;0,2277804176703
"81";703;20;26,3;0,294941483362513
"82";734;19,7;26,5;0,321083152082231
"83";796;19,3;27,7;0,296153138707636
"84";825;5,1;8,7;0,000929855325593766
"86";831;17,6;27;0,243922050084142
"87";837;14,7;26,4;0,174332440319087
"89";876;11,4;17,5;0,0683931527470581
"9";739;13,7;22,2;0,134850011042015
"90";925;11,5;18,3;0,0738998641699714
"92";1005;19;27,4;0,2782537897416
"93";1069;21,9;27,8;0,343303663326699
"96";1101;10,1;20,7;0,0577164003375022
"97";1215;22,4;29,6;0,424982526705987
"98";1216;9,9;19,1;0,0601479773778647
"99";1316;7,3;14,9;0,0210108102242527
