"";"plantio";"parcela";"idestprocnum.x";"idplanmed.x";"idestcad.x";"idestcub.x";"idparcmed";"idfilamed";"idcovamed";"idfustemed";"datamedicao";"x";"y";"srid";"areaparc";"fila";"cova";"fuste";"cat";"desc_cat";"dap";"ht";"usar_hipso";"haprov_total";"htest";"htre";"hdom";"vprod_5";"idestprocnum.y";"idplanmed.y";"idestcad.y";"idestcub.y";"espacamento";"matgen";"area";"dataplantio"
"1";1;28595;1;1;1;1;1;1;1;1;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;1;1;0;"Normal";"14,13";NA;0;1;"22,7655299604755";"22,7655299604755";"29,84";"173,54868627891";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"2";1;28595;1;1;1;1;1;1;3;3;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;3;1;0;"Normal";"18,97";NA;0;1;"26,5116741007214";"26,5116741007214";"29,84";"271,335133086681";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"3";1;28595;1;1;1;1;1;1;4;4;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;4;1;0;"Normal";"20,28";NA;0;1;"27,2843504720373";"27,2843504720373";"29,84";"298,526675610587";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"4";1;28595;1;1;1;1;1;1;5;5;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;5;1;0;"Normal";"19,58";NA;0;1;"26,8815622491016";"26,8815622491016";"29,84";"283,967574909871";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"5";1;28595;1;1;1;1;1;1;6;6;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;6;1;0;"Normal";"17,22";NA;0;1;"25,3401031421942";"25,3401031421942";"29,84";"235,419823774769";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"6";1;28595;1;1;1;1;1;1;7;7;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;7;1;0;"Normal";"12,64";NA;0;1;"21,2183093618279";"21,2183093618279";"29,84";"144,696887278349";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"7";1;28595;1;1;1;1;1;1;8;8;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;8;1;0;"Normal";"13,27";NA;0;1;"21,9014399678834";"21,9014399678834";"29,84";"156,79960342875";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"8";1;28595;1;1;1;1;1;1;9;9;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;9;1;0;"Normal";"17,95";NA;0;1;"25,8500662517975";"25,8500662517975";"29,84";"250,338495050553";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"9";1;28595;1;1;1;1;1;1;10;10;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;10;1;0;"Normal";"9,87";NA;0;1;"17,5937424744098";"17,5937424744098";"29,84";"93,6863985975144";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"10";1;28595;1;1;1;1;1;1;11;11;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;11;1;0;"Normal";"22,73";NA;0;1;"28,5356376058573";"28,5356376058573";"29,84";"349,936008248384";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"11";1;28595;1;1;1;1;1;1;12;12;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;12;1;0;"Normal";"11,65";NA;0;1;"20,0483090711331";"20,0483090711331";"29,84";"126,00998458943";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"12";1;28595;1;1;1;1;1;1;13;13;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;13;1;0;"Normal";"19,54";NA;0;1;"26,8578617754595";"26,8578617754595";"29,84";"283,137604566978";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"13";1;28595;1;1;1;1;1;1;14;14;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;14;1;0;"Normal";"20,85";NA;0;1;"27,5964245543096";"27,5964245543096";"29,84";"310,427696493499";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"14";1;28595;1;1;1;1;1;1;15;15;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;15;1;0;"Normal";"20,44";NA;0;1;"27,3733450145862";"27,3733450145862";"29,84";"301,863317307198";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"15";1;28595;1;1;1;1;1;1;16;16;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;16;1;0;"Normal";"22,22";NA;0;1;"28,2935698410636";"28,2935698410636";"29,84";"339,18247888616";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"16";1;28595;1;1;1;1;1;1;17;17;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;17;1;0;"Normal";"20,75";NA;0;1;"27,5426624110225";"27,5426624110225";"29,84";"308,336972254941";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"17";1;28595;1;1;1;1;1;1;18;18;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;18;1;0;"Normal";"21,71";NA;0;1;"28,0423291672206";"28,0423291672206";"29,84";"328,454719598868";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"18";1;28595;1;1;1;1;1;1;19;19;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;19;1;0;"Normal";"19,67";NA;0;1;"26,9346115225094";"26,9346115225094";"29,84";"285,835810917111";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
"19";1;28595;1;1;1;1;1;1;20;20;"2005-08-31";"-47,55579933";"-21,57534049";4326;500;1;20;1;0;"Normal";"22";NA;0;1;"28,1863461465528";"28,1863461465528";"29,84";"334,551565962723";1;1;1;1;"300x300";1;"39,27";"1998-01-30"
