idestprocnum,idplanmed,idestcad,idestcub,plantio,espacamento,matgen,area,dataplantio
1,1,1,1,1,300x300,1,"39,27",1998-01-30
1,2,1,1,2,300x300,1,"31,74",1998-02-28
1,3,1,2,3,300x300,2,"20,6",1998-04-30
1,4,1,1,4,300x300,1,"28,68",1998-05-15
1,5,1,3,5,300x300,3,"59,91",1997-12-09
1,6,1,3,6,300x300,3,"23,78",1997-12-26
1,7,1,1,7,300x300,1,"17,06",1998-05-20
1,8,1,3,8,300x300,3,"31,18",1997-12-10
1,9,1,4,9,300x300,4,"34,32",1998-03-17
1,10,1,1,10,300x300,1,"71,01",1998-05-27
1,11,1,2,11,300x300,2,"30,36",1998-03-19
1,12,2,2,12,600x150,2,"11,85",1998-07-31
1,13,1,3,13,300x300,3,"29,04",1998-01-21
1,14,2,4,14,600x150,4,"40,69",1998-03-13
1,15,2,2,15,600x150,2,"30,08",1998-07-25
1,16,1,1,16,300x300,1,"48,66",1998-04-28
1,17,1,5,17,300x300,5,"12,32",1998-04-29
1,18,2,2,18,600x150,2,"38,58",1998-07-28
1,19,2,2,19,600x150,2,"17,31",1998-07-23
1,20,2,1,20,600x150,1,"20,4",1998-07-21
