idplanmed,idestcub,idfustemed,plantio,numarv,datamedicao,dap,ht,seq,hi,dicc1,dicc2,espcasca
1,1,1,1,485,2005-09-05,"16,7","27,4",1,"0,1","19,8","19,8","0,6"
1,1,1,1,485,2005-09-05,"16,7","27,4",2,"0,7","17,9","17,9","0,4"
1,1,1,1,485,2005-09-05,"16,7","27,4",3,"1,3","16,7","16,7","0,4"
1,1,1,1,485,2005-09-05,"16,7","27,4",4,2,"15,65","15,65","0,4"
1,1,1,1,485,2005-09-05,"16,7","27,4",5,4,"15,3","15,3","0,4"
1,1,1,1,485,2005-09-05,"16,7","27,4",6,6,"14,3","14,3","0,4"
1,1,1,1,485,2005-09-05,"16,7","27,4",7,8,"13,3","13,3","0,3"
1,1,1,1,485,2005-09-05,"16,7","27,4",8,10,"12,1","12,1","0,3"
1,1,1,1,485,2005-09-05,"16,7","27,4",9,12,"11,35","11,35","0,3"
1,1,1,1,485,2005-09-05,"16,7","27,4",10,14,"10,25","10,25","0,3"
1,1,1,1,485,2005-09-05,"16,7","27,4",11,16,"9,35","9,35","0,3"
1,1,1,1,485,2005-09-05,"16,7","27,4",12,18,"7,85","7,85","0,3"
1,1,1,1,485,2005-09-05,"16,7","27,4",13,20,7,7,"0,2"
1,1,1,1,485,2005-09-05,"16,7","27,4",14,22,"5,35","5,35","0,2"
1,1,1,1,485,2005-09-05,"16,7","27,4",15,24,"4,45","4,45","0,2"
1,1,3,1,582,2003-03-05,"10,9","20,2",1,"0,1","13,4","13,4","0,8"
1,1,3,1,582,2003-03-05,"10,9","20,2",2,"0,7","11,7","11,7","0,5"
1,1,3,1,582,2003-03-05,"10,9","20,2",3,"1,3","10,9","10,9","0,4"
1,1,3,1,582,2003-03-05,"10,9","20,2",4,2,"10,5","10,5","0,2"
1,1,3,1,582,2003-03-05,"10,9","20,2",5,4,10,10,"0,2"
1,1,3,1,582,2003-03-05,"10,9","20,2",6,6,"9,5","9,5","0,2"
1,1,3,1,582,2003-03-05,"10,9","20,2",7,8,"8,5","8,5","0,2"
1,1,3,1,582,2003-03-05,"10,9","20,2",8,10,"6,7","6,7","0,2"
1,1,3,1,582,2003-03-05,"10,9","20,2",9,12,"5,7","5,7","0,2"
1,1,3,1,582,2003-03-05,"10,9","20,2",10,14,"4,5","4,5","0,1"
1,1,3,1,582,2003-03-05,"10,9","20,2",11,16,"2,8","2,8","0,1"
1,1,5,1,666,2003-02-15,"22,5","26,3",1,"0,1","27,8","27,8","1,1"
1,1,5,1,666,2003-02-15,"22,5","26,3",2,"0,7","23,9","23,9","0,9"
1,1,5,1,666,2003-02-15,"22,5","26,3",3,"1,3","22,5","22,5","0,5"
1,1,5,1,666,2003-02-15,"22,5","26,3",4,2,"21,6","21,6","0,5"
1,1,5,1,666,2003-02-15,"22,5","26,3",5,4,"20,2","20,2","0,4"
1,1,5,1,666,2003-02-15,"22,5","26,3",6,6,"18,1","18,1","0,4"
1,1,5,1,666,2003-02-15,"22,5","26,3",7,8,"17,1","17,1","0,4"
1,1,5,1,666,2003-02-15,"22,5","26,3",8,10,"16,1","16,1","0,4"
1,1,5,1,666,2003-02-15,"22,5","26,3",9,12,"15,3","15,3","0,4"
1,1,5,1,666,2003-02-15,"22,5","26,3",10,14,"13,2","13,2","0,4"
1,1,5,1,666,2003-02-15,"22,5","26,3",11,16,"11,9","11,9","0,4"
1,1,5,1,666,2003-02-15,"22,5","26,3",12,18,"10,1","10,1","0,4"
1,1,5,1,666,2003-02-15,"22,5","26,3",13,20,9,9,"0,4"
1,1,5,1,666,2003-02-15,"22,5","26,3",14,22,"6,4","6,4","0,3"
1,1,5,1,666,2003-02-15,"22,5","26,3",15,24,"3,4","3,4","0,2"
1,1,9,1,739,2004-04-30,"13,7","22,2",1,"0,1","17,5","17,5",1
1,1,9,1,739,2004-04-30,"13,7","22,2",2,"0,7","14,5","14,5","0,5"
1,1,9,1,739,2004-04-30,"13,7","22,2",3,"1,3","13,7","13,7","0,5"
1,1,9,1,739,2004-04-30,"13,7","22,2",4,2,"13,3","13,3","0,4"
1,1,9,1,739,2004-04-30,"13,7","22,2",5,4,"12,5","12,5","0,3"
1,1,9,1,739,2004-04-30,"13,7","22,2",6,6,"11,9","11,9","0,3"
1,1,9,1,739,2004-04-30,"13,7","22,2",7,8,"11,5","11,5","0,3"
1,1,9,1,739,2004-04-30,"13,7","22,2",8,10,10,10,"0,3"
1,1,9,1,739,2004-04-30,"13,7","22,2",9,12,"8,6","8,6","0,3"
1,1,9,1,739,2004-04-30,"13,7","22,2",10,14,"7,5","7,5","0,3"
1,1,9,1,739,2004-04-30,"13,7","22,2",11,16,6,6,"0,3"
1,1,9,1,739,2004-04-30,"13,7","22,2",12,18,"4,5","4,5","0,3"
1,1,9,1,739,2004-04-30,"13,7","22,2",13,20,3,3,"0,2"
1,1,10,1,740,2004-04-30,"15,1","23,4",1,"0,1","18,7","18,7",1
1,1,10,1,740,2004-04-30,"15,1","23,4",2,"0,7",16,16,"0,6"
1,1,10,1,740,2004-04-30,"15,1","23,4",3,"1,3","15,1","15,1","0,5"
1,1,10,1,740,2004-04-30,"15,1","23,4",4,2,"14,3","14,3","0,4"
1,1,10,1,740,2004-04-30,"15,1","23,4",5,4,"13,5","13,5","0,3"
1,1,10,1,740,2004-04-30,"15,1","23,4",6,6,"12,7","12,7","0,3"
1,1,10,1,740,2004-04-30,"15,1","23,4",7,8,12,12,"0,3"
1,1,10,1,740,2004-04-30,"15,1","23,4",8,10,"10,7","10,7","0,3"
1,1,10,1,740,2004-04-30,"15,1","23,4",9,12,10,10,"0,3"
1,1,10,1,740,2004-04-30,"15,1","23,4",10,14,9,9,"0,3"
1,1,10,1,740,2004-04-30,"15,1","23,4",11,16,"7,3","7,3","0,3"
1,1,10,1,740,2004-04-30,"15,1","23,4",12,18,"6,4","6,4","0,3"
1,1,10,1,740,2004-04-30,"15,1","23,4",13,20,4,4,"0,2"
1,1,10,1,740,2004-04-30,"15,1","23,4",14,22,"1,5","1,5","0,1"
1,1,12,1,848,2002-12-20,"6,2","13,4",1,"0,1","8,6","8,6","0,4"
1,1,12,1,848,2002-12-20,"6,2","13,4",2,"0,7","6,5","6,5","0,3"
1,1,12,1,848,2002-12-20,"6,2","13,4",3,"1,3","6,2","6,2","0,2"
1,1,12,1,848,2002-12-20,"6,2","13,4",4,2,"5,8","5,8","0,2"
1,1,12,1,848,2002-12-20,"6,2","13,4",5,4,5,5,"0,2"
1,1,12,1,848,2002-12-20,"6,2","13,4",6,6,4,4,"0,1"
1,1,12,1,848,2002-12-20,"6,2","13,4",7,8,"3,5","3,5","0,1"
1,1,12,1,848,2002-12-20,"6,2","13,4",8,10,"2,7","2,7","0,1"
1,1,13,1,849,2002-12-20,"10,4","19,2",1,"0,1","13,7","13,7","0,6"
1,1,13,1,849,2002-12-20,"10,4","19,2",2,"0,7","11,3","11,3","0,5"
1,1,13,1,849,2002-12-20,"10,4","19,2",3,"1,3","10,4","10,4","0,4"
1,1,13,1,849,2002-12-20,"10,4","19,2",4,2,"10,1","10,1","0,4"
1,1,13,1,849,2002-12-20,"10,4","19,2",5,4,"9,8","9,8","0,3"
1,1,13,1,849,2002-12-20,"10,4","19,2",6,6,9,9,"0,3"
1,1,13,1,849,2002-12-20,"10,4","19,2",7,8,8,8,"0,2"
1,1,13,1,849,2002-12-20,"10,4","19,2",8,10,7,7,"0,2"
1,1,13,1,849,2002-12-20,"10,4","19,2",9,12,"6,2","6,2","0,1"
1,1,13,1,849,2002-12-20,"10,4","19,2",10,14,5,5,"0,1"
1,1,13,1,849,2002-12-20,"10,4","19,2",11,16,"3,5","3,5","0,1"
1,1,13,1,849,2002-12-20,"10,4","19,2",12,18,2,2,"0,1"
1,1,14,1,851,2002-12-20,"17,1","21,9",1,"0,1","20,5","20,5","1,1"
1,1,14,1,851,2002-12-20,"17,1","21,9",2,"0,7","18,6","18,6","0,8"
1,1,14,1,851,2002-12-20,"17,1","21,9",3,"1,3","17,1","17,1","0,6"
1,1,14,1,851,2002-12-20,"17,1","21,9",4,2,"16,6","16,6","0,5"
1,1,14,1,851,2002-12-20,"17,1","21,9",5,4,"14,7","14,7","0,5"
1,1,14,1,851,2002-12-20,"17,1","21,9",6,6,14,14,"0,4"
1,1,14,1,851,2002-12-20,"17,1","21,9",7,8,"13,7","13,7","0,4"
1,1,14,1,851,2002-12-20,"17,1","21,9",8,10,"12,2","12,2","0,4"
1,1,14,1,851,2002-12-20,"17,1","21,9",9,12,"10,8","10,8","0,4"
1,1,14,1,851,2002-12-20,"17,1","21,9",10,14,"9,7","9,7","0,3"
1,1,14,1,851,2002-12-20,"17,1","21,9",11,16,"7,7","7,7","0,3"
1,1,14,1,851,2002-12-20,"17,1","21,9",12,18,6,6,"0,2"
1,1,14,1,851,2002-12-20,"17,1","21,9",13,20,"2,6","2,6","0,1"
1,1,15,1,864,2003-04-10,"16,5","24,8",1,"0,1",20,20,"0,9"
1,1,15,1,864,2003-04-10,"16,5","24,8",2,"0,7","17,4","17,4","0,8"
1,1,15,1,864,2003-04-10,"16,5","24,8",3,"1,3","16,5","16,5","0,5"
1,1,15,1,864,2003-04-10,"16,5","24,8",4,2,"15,5","15,5","0,4"
1,1,15,1,864,2003-04-10,"16,5","24,8",5,4,15,15,"0,4"
1,1,15,1,864,2003-04-10,"16,5","24,8",6,6,14,14,"0,4"
1,1,15,1,864,2003-04-10,"16,5","24,8",7,8,"12,8","12,8","0,4"
1,1,15,1,864,2003-04-10,"16,5","24,8",8,10,12,12,"0,3"
1,1,15,1,864,2003-04-10,"16,5","24,8",9,12,"11,2","11,2","0,3"
1,1,15,1,864,2003-04-10,"16,5","24,8",10,14,"9,8","9,8","0,3"
1,1,15,1,864,2003-04-10,"16,5","24,8",11,16,"8,5","8,5","0,3"
1,1,15,1,864,2003-04-10,"16,5","24,8",12,18,"7,6","7,6","0,3"
1,1,15,1,864,2003-04-10,"16,5","24,8",13,20,"5,6","5,6","0,2"
1,1,15,1,864,2003-04-10,"16,5","24,8",14,22,4,4,"0,2"
1,1,16,1,888,2003-02-15,"17,7","23,5",1,"0,1",22,22,0
1,1,16,1,888,2003-02-15,"17,7","23,5",2,"0,7","19,2","19,2",0
1,1,16,1,888,2003-02-15,"17,7","23,5",3,"1,3","17,7","17,7",0
1,1,16,1,888,2003-02-15,"17,7","23,5",4,2,17,17,0
1,1,16,1,888,2003-02-15,"17,7","23,5",5,4,"16,1","16,1",0
1,1,16,1,888,2003-02-15,"17,7","23,5",6,6,"14,8","14,8",0
1,1,16,1,888,2003-02-15,"17,7","23,5",7,8,"13,8","13,8",0
1,1,16,1,888,2003-02-15,"17,7","23,5",8,10,"12,6","12,6",0
1,1,16,1,888,2003-02-15,"17,7","23,5",9,12,"11,3","11,3",0
1,1,16,1,888,2003-02-15,"17,7","23,5",10,14,"10,1","10,1",0
1,1,16,1,888,2003-02-15,"17,7","23,5",11,16,"8,5","8,5",0
1,1,16,1,888,2003-02-15,"17,7","23,5",12,18,"7,3","7,3",0
1,1,16,1,888,2003-02-15,"17,7","23,5",13,20,"5,2","5,2",0
1,1,17,1,893,2003-02-15,"7,5","16,4",1,"0,1","9,5","9,5",0
1,1,17,1,893,2003-02-15,"7,5","16,4",2,"0,7","7,9","7,9",0
1,1,17,1,893,2003-02-15,"7,5","16,4",3,"1,3","7,5","7,5",0
1,1,17,1,893,2003-02-15,"7,5","16,4",4,2,"7,5","7,5",0
1,1,17,1,893,2003-02-15,"7,5","16,4",5,4,"7,1","7,1",0
1,1,17,1,893,2003-02-15,"7,5","16,4",6,6,"6,4","6,4",0
1,1,17,1,893,2003-02-15,"7,5","16,4",7,8,"5,8","5,8",0
1,1,17,1,893,2003-02-15,"7,5","16,4",8,10,"4,8","4,8",0
1,1,17,1,893,2003-02-15,"7,5","16,4",9,12,"3,7","3,7",0
1,1,17,1,893,2003-02-15,"7,5","16,4",10,14,"2,7","2,7",0
1,1,18,1,897,2003-02-15,13,"20,9",1,"0,1","16,2","16,2",0
1,1,18,1,897,2003-02-15,13,"20,9",2,"0,7","14,1","14,1",0
1,1,18,1,897,2003-02-15,13,"20,9",3,"1,3",13,13,0
1,1,18,1,897,2003-02-15,13,"20,9",4,2,"12,6","12,6",0
1,1,18,1,897,2003-02-15,13,"20,9",5,4,"12,2","12,2",0
1,1,18,1,897,2003-02-15,13,"20,9",6,6,"11,8","11,8",0
1,1,18,1,897,2003-02-15,13,"20,9",7,8,"10,6","10,6",0
1,1,18,1,897,2003-02-15,13,"20,9",8,10,"9,7","9,7",0
1,1,18,1,897,2003-02-15,13,"20,9",9,12,"8,5","8,5",0
1,1,18,1,897,2003-02-15,13,"20,9",10,14,"7,4","7,4",0
1,1,18,1,897,2003-02-15,13,"20,9",11,16,"6,1","6,1",0
1,1,18,1,897,2003-02-15,13,"20,9",12,18,"4,3","4,3",0
1,1,19,1,898,2003-02-15,"3,8","10,1",1,"0,1","5,2","5,2",0
1,1,19,1,898,2003-02-15,"3,8","10,1",2,"0,7","4,1","4,1",0
1,1,19,1,898,2003-02-15,"3,8","10,1",3,"1,3","3,8","3,8",0
1,1,19,1,898,2003-02-15,"3,8","10,1",4,2,"3,8","3,8",0
1,1,19,1,898,2003-02-15,"3,8","10,1",5,4,"3,2","3,2",0
1,1,19,1,898,2003-02-15,"3,8","10,1",6,6,"2,6","2,6",0
1,1,19,1,898,2003-02-15,"3,8","10,1",7,8,"1,9","1,9",0
1,1,20,1,901,2003-02-15,"9,7","18,2",1,"0,1","11,3","11,3",0
1,1,20,1,901,2003-02-15,"9,7","18,2",2,"0,7","10,2","10,2",0
1,1,20,1,901,2003-02-15,"9,7","18,2",3,"1,3","9,7","9,7",0
1,1,20,1,901,2003-02-15,"9,7","18,2",4,2,"9,7","9,7",0
1,1,20,1,901,2003-02-15,"9,7","18,2",5,4,"9,3","9,3",0
1,1,20,1,901,2003-02-15,"9,7","18,2",6,6,"8,4","8,4",0
1,1,20,1,901,2003-02-15,"9,7","18,2",7,8,"7,7","7,7",0
1,1,20,1,901,2003-02-15,"9,7","18,2",8,10,7,7,0
1,1,20,1,901,2003-02-15,"9,7","18,2",9,12,"5,6","5,6",0
1,1,20,1,901,2003-02-15,"9,7","18,2",10,14,"4,6","4,6",0
1,1,20,1,901,2003-02-15,"9,7","18,2",11,16,3,3,0
1,1,21,1,907,2004-02-20,"12,3","22,1",1,"0,1","16,7","16,7","0,4"
1,1,21,1,907,2004-02-20,"12,3","22,1",2,"0,7","13,1","13,1","0,3"
1,1,21,1,907,2004-02-20,"12,3","22,1",3,"1,3","12,3","12,3","0,3"
1,1,21,1,907,2004-02-20,"12,3","22,1",4,2,"12,1","12,1","0,3"
1,1,21,1,907,2004-02-20,"12,3","22,1",5,4,"11,7","11,7","0,3"
1,1,21,1,907,2004-02-20,"12,3","22,1",6,6,11,11,"0,3"
1,1,21,1,907,2004-02-20,"12,3","22,1",7,8,10,10,"0,3"
1,1,21,1,907,2004-02-20,"12,3","22,1",8,10,9,9,"0,3"
1,1,21,1,907,2004-02-20,"12,3","22,1",9,12,"8,4","8,4","0,3"
