idestprocnum,idplanmed,idestcad,idestcub,idparcmed,idfilamed,idcovamed,idfustemed,plantio,parcela,datamedicao,x,y,srid,areaparc,fila,cova,fuste,cat,desc_cat,dap,ht,usar_hipso,haprov_total,htest,htre
1,1,1,1,1,1,1,1,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,1,1,0,Normal,"14,13",,0,1,"26,39","26,39"
1,1,1,1,1,1,2,2,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,2,1,1,Falha,0,,0,0,,
1,1,1,1,1,1,3,3,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,3,1,0,Normal,"18,97",,0,1,"28,65","28,65"
1,1,1,1,1,1,4,4,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,4,1,0,Normal,"20,28",,0,1,"29,1","29,1"
1,1,1,1,1,1,5,5,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,5,1,0,Normal,"19,58",,0,1,"28,87","28,87"
1,1,1,1,1,1,6,6,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,6,1,0,Normal,"17,22",,0,1,"27,96","27,96"
1,1,1,1,1,1,7,7,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,7,1,0,Normal,"12,64",,0,1,"25,4","25,4"
1,1,1,1,1,1,8,8,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,8,1,0,Normal,"13,27",,0,1,"25,84","25,84"
1,1,1,1,1,1,9,9,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,9,1,0,Normal,"17,95",,0,1,"28,26","28,26"
1,1,1,1,1,1,10,10,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,10,1,0,Normal,"9,87",,0,1,"22,96","22,96"
1,1,1,1,1,1,11,11,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,11,1,0,Normal,"22,73",,0,1,"29,81","29,81"
1,1,1,1,1,1,12,12,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,12,1,0,Normal,"11,65",,0,1,"24,64","24,64"
1,1,1,1,1,1,13,13,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,13,1,0,Normal,"19,54",,0,1,"28,85","28,85"
1,1,1,1,1,1,14,14,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,14,1,0,Normal,"20,85",,0,1,"29,28","29,28"
1,1,1,1,1,1,15,15,1,28595,2005-08-31,"-47,55579933","-21,57534049",4326,500,1,15,1,0,Normal,"20,44",,0,1,"29,15","29,15"
