indice,tipo,id_cluster,n_pixels,area_ha,limiar_persistencia_pct,limiar_anomalia
EVI,Negativo,65,516,5.16,40.0,-0.05
EVI,Negativo,163,357,3.5700000000000003,40.0,-0.05
EVI,Negativo,165,111,1.11,40.0,-0.05
EVI,Negativo,17,88,0.88,40.0,-0.05
EVI,Negativo,106,65,0.65,40.0,-0.05
EVI,Negativo,133,55,0.55,40.0,-0.05
NDMI,Negativo,5,359,14.36,40.0,-0.05
NDMI,Negativo,12,216,8.64,40.0,-0.05
NDMI,Negativo,37,113,4.5200000000000005,40.0,-0.05
NDMI,Negativo,41,99,3.96,40.0,-0.05
NDMI,Negativo,36,51,2.04,40.0,-0.05
NDMI,Negativo,9,40,1.6,40.0,-0.05
NDMI,Negativo,23,33,1.32,40.0,-0.05
NDMI,Negativo,14,31,1.24,40.0,-0.05
NDMI,Negativo,18,30,1.2,40.0,-0.05
NDMI,Negativo,11,20,0.8,40.0,-0.05
NDMI,Negativo,1,15,0.6,40.0,-0.05
NDMI,Positivo,26,31,1.24,40.0,0.05
NDVI,Negativo,4,1784,17.84,40.0,-0.05
NDVI,Negativo,13,1116,11.16,40.0,-0.05
NDVI,Negativo,126,600,6.0,40.0,-0.05
NDVI,Negativo,118,459,4.59,40.0,-0.05
NDVI,Negativo,109,191,1.9100000000000001,40.0,-0.05
NDVI,Negativo,33,155,1.55,40.0,-0.05
NDVI,Negativo,5,129,1.29,40.0,-0.05
NDVI,Negativo,147,125,1.25,40.0,-0.05
NDVI,Negativo,72,76,0.76,40.0,-0.05
NDVI,Negativo,185,62,0.62,40.0,-0.05
NDVI,Positivo,95,983,9.83,40.0,0.05
NDVI,Positivo,170,147,1.47,40.0,0.05
NDVI,Positivo,125,109,1.09,40.0,0.05
NDVI,Positivo,166,92,0.92,40.0,0.05
NDVI,Positivo,148,62,0.62,40.0,0.05
NDVI,Positivo,91,61,0.61,40.0,0.05
NDVI,Positivo,121,54,0.54,40.0,0.05
